,precision,recall,f1-score,support
account_access_issue,0.5161290322580645,0.6666666666666666,0.5818181818181818,24.0
app_or_technical_issue,0.2857142857142857,0.26666666666666666,0.27586206896551724,15.0
cancellation_issue,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0
driver_issue,0.7142857142857143,0.7894736842105263,0.75,38.0
fare_or_charge_issue,0.3333333333333333,0.2,0.25,15.0
other_support_issue,0.6888888888888889,0.6458333333333334,0.6666666666666666,48.0
payment_issue,0.375,0.375,0.375,8.0
refund_request,1.0,0.4166666666666667,0.5882352941176471,12.0
trip_issue,0.2857142857142857,0.5,0.36363636363636365,4.0
uber_eats_issue,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
accuracy,0.61,0.61,0.61,0.61
macro avg,0.5606472947601979,0.534082649806334,0.5282929721201236,200.0
weighted avg,0.618274108209592,0.61,0.6021975233546517,200.0
