,account_access_issue,app_or_technical_issue,cancellation_issue,driver_issue,fare_or_charge_issue,other_support_issue,payment_issue,refund_request,trip_issue,uber_eats_issue
account_access_issue,16,3,0,0,0,3,0,0,0,2
app_or_technical_issue,5,4,0,4,0,1,1,0,0,0
cancellation_issue,0,0,8,2,3,0,0,0,0,1
driver_issue,1,0,0,30,0,4,1,0,1,1
fare_or_charge_issue,0,0,1,2,3,2,2,0,3,2
other_support_issue,7,5,0,3,0,31,1,0,1,0
payment_issue,2,1,0,0,0,2,3,0,0,0
refund_request,0,0,2,0,3,1,0,5,0,1
trip_issue,0,0,0,1,0,1,0,0,2,0
uber_eats_issue,0,1,1,0,0,0,0,0,0,20
